AGYSUB,AGYSUBT
GJ00,PRESIDIO TRUST
GW00,"INTERNATIONAL BOUNDARY AND WATER COMMISSION, U.S. SECTION"
HD00,U.S. HOLOCAUST MEMORIAL MUSEUM
HFHA,FEDERAL HOUSING FINANCE AGENCY
HFHI,OFFICE OF INSPECTOR GENERAL
JL03,U.S. TAX COURT
KS00,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE
LF00,FEDERAL ELECTION COMMISSION
MC00,FEDERAL MARITIME COMMISSION
MI00,MILLENNIUM CHALLENGE CORPORATION
PU00,PEACE CORPS
RF00,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD
RH00,ARMED FORCES RETIREMENT HOME
RR00,RAILROAD RETIREMENT BOARD
SK00,CONSUMER PRODUCT SAFETY COMMISSION
SS00,SELECTIVE SERVICE SYSTEM
TB00,NATIONAL TRANSPORTATION SAFETY BOARD
TC00,U.S. INTERNATIONAL TRADE COMMISSION
TN00,OFFICE OF THE U.S. TRADE REPRESENTATIVE
TW00,SURFACE TRANSPORTATION BOARD
AA00,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES
AB00,AMERICAN BATTLE MONUMENTS COMMISSION
AN00,AFRICAN DEVELOPMENT FOUNDATION
AP00,APPALACHIAN REGIONAL COMMISSION
AW00,ARCTIC RESEARCH COMMISSION
BH00,COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD
BK00,JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION
BT00,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD
BW00,NUCLEAR WASTE TECHNICAL REVIEW BOARD
CC00,COMMISSION ON CIVIL RIGHTS
CE00,COUNCIL OF ECONOMIC ADVISERS
CF00,COMMISSION OF FINE ARTS
CX00,NATIONAL COMMISSION ON LIBRARIES AND INFORMATION SCIENCE
DA00,DELTA REGIONAL AUTHORITY
DB00,PUBLIC INTEREST DECLASSIFICATION BOARD
DG00,NORTHERN BORDER REGIONAL COMMISSION
DO00,OFFICE OF THE CYBER DIRECTOR
DQ00,DENALI COMMISSION
EO00,MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION
EQ00,COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY
EW00,TRADE AND DEVELOPMENT AGENCY
FI00,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL
FJ00,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD
FK00,FARM CREDIT SYSTEM INSURANCE CORPORATION
GC00,GULF COAST ECOSYSTEM RESTORATION COUNCIL
GE00,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FOUNDATION
GG00,OFFICE OF GOVERNMENT ETHICS
GQ00,ELECTION ASSISTANCE COMMISSION
GU00,THE US SEMIQUINCENTENNIAL COMMISSION
GX00,INTERNATIONAL BOUNDARY COMMISSION:  UNITED STATES AND CANADA
GY00,INTERNATIONAL JOINT COMMISSION:  UNITED STATES AND CANADA
GZ00,THE WOMEN'S SUFFRAGE CENTENNIAL COMMISSION
HB01,OFFICE OF THE COMMITTEE FOR PURCHASE FROM PEOPLE WHO A RE BLIND OR SEVERELY DISABLED
HB02,OFFICE OF INSPECTOR GENERAL
HP00,ADVISORY COUNCIL ON HISTORIC PRESERVATION
HT00,HARRY S. TRUMAN SCHOLARSHIP FOUNDATION
HW00,U.S. INTERAGENCY COUNCIL ON HOMELESSNESS
IF00,INTER-AMERICAN FOUNDATION
IG00,COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY
IP00,INTELLECTUAL PROPERTY ENFORCEMENT COORDINATOR
KY00,PUBLIC BUILDINGS REFORM BOARD
MA00,MARINE MAMMAL COMMISSION
NK00,NATIONAL COUNCIL ON DISABILITY
NM00,NATIONAL MEDIATION BOARD
NP00,NATIONAL CAPITAL PLANNING COMMISSION
NS00,NATIONAL SECURITY COUNCIL
OS00,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
QQ00,OFFICE OF NATIONAL DRUG CONTROL POLICY
RE00,OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION
RO00,MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION
RS00,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION
TS00,OFFICE OF SCIENCE AND TECHNOLOGY POLICY
UJ00,JAPAN-UNITED STATES FRIENDSHIP COMMISSION
UT00,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION
VD00,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD
WK00,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL
WX00,WORLD WAR 1 CENTENNIAL COMMISSION
ZP00,U.S. COMMISSION ON INTERNATIONAL RELIGIOUS FREEDOM
ZS00,UNITED STATES-CHINA ECONOMIC AND SECURITY REVIEW COMMISSION
